City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Luganville,VU,-15.5333,167.1667,77.16,88,99,4.27,overcast clouds
1,Ellsworth,US,44.5434,-68.4195,54.12,25,0,10.36,clear sky
2,Rabo De Peixe,PT,37.8,-25.5833,56.71,77,75,16.11,light rain
3,Vaini,TO,-21.2,-175.2,66.36,100,75,0.0,broken clouds
4,Talnakh,RU,69.4865,88.3972,-3.28,100,99,4.7,overcast clouds
5,Kapaa,US,22.0752,-159.319,76.48,84,20,13.8,few clouds
6,Rikitea,PF,-23.1203,-134.9692,75.18,74,100,4.99,light rain
7,Guinguineo,SN,14.2667,-15.95,109.22,10,0,9.22,clear sky
8,Auka,HN,14.9333,-83.8333,86.14,61,77,6.44,broken clouds
9,Barrow,US,71.2906,-156.7887,15.82,86,100,0.0,light snow
10,Ishigaki,JP,24.3448,124.1572,77.13,100,41,6.91,scattered clouds
11,Busselton,AU,-33.65,115.3333,58.96,70,17,11.88,few clouds
12,Albany,US,42.6001,-73.9662,57.56,33,56,1.99,broken clouds
13,Faanui,PF,-16.4833,-151.75,80.44,74,99,6.64,overcast clouds
14,Tiksi,RU,71.6872,128.8694,0.46,100,100,2.57,overcast clouds
15,Amapa,BR,1.0,-52.0,73.99,95,100,2.57,overcast clouds
16,Rawson,AR,-43.3002,-65.1023,63.52,27,33,41.38,scattered clouds
17,Tasiilaq,GL,65.6145,-37.6368,37.29,92,81,4.0,broken clouds
18,Kodiak,US,57.79,-152.4072,42.31,81,100,13.8,light rain
19,Bluff,NZ,-46.6,168.3333,51.8,78,100,20.83,overcast clouds
20,Butaritari,KI,3.0707,172.7902,81.64,75,53,15.7,broken clouds
21,Punta Arenas,CL,-53.15,-70.9167,46.42,87,100,9.22,light rain
22,Araouane,ML,18.9048,-3.5265,91.67,7,49,10.04,scattered clouds
23,Mataura,NZ,-46.1927,168.8643,51.48,97,100,8.61,overcast clouds
24,Hermanus,ZA,-34.4187,19.2345,58.8,64,43,9.01,scattered clouds
25,Bredasdorp,ZA,-34.5322,20.0403,58.89,66,79,8.08,broken clouds
26,Cherskiy,RU,68.75,161.3,11.37,97,98,2.35,overcast clouds
27,Guerrero Negro,MX,27.9769,-114.0611,64.47,53,0,20.65,clear sky
28,Arraial Do Cabo,BR,-22.9661,-42.0278,93.16,38,0,12.66,clear sky
29,Jamestown,US,42.097,-79.2353,67.95,45,100,6.91,overcast clouds
30,Abohar,IN,30.15,74.1833,86.29,15,45,6.31,scattered clouds
31,Turayf,SA,31.6725,38.6637,68.25,52,75,27.63,sand
32,Ancud,CL,-41.8697,-73.8203,50.23,78,90,21.05,light rain
33,Vigrestad,NO,58.5667,5.7,54.9,73,97,9.48,overcast clouds
34,Constitucion,CL,-35.3333,-72.4167,59.41,79,100,5.79,overcast clouds
35,Lagoa,PT,39.05,-27.9833,57.18,61,67,24.58,broken clouds
36,Broome,US,42.2506,-75.833,62.19,35,100,4.61,overcast clouds
37,Lazaro Cardenas,MX,17.9583,-102.2,84.52,52,3,10.33,clear sky
