City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Luganville,VU,77.16,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
3,Vaini,TO,66.36,broken clouds,-21.2,-175.2,Keleti Beach Resort
5,Kapaa,US,76.48,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
6,Rikitea,PF,75.18,light rain,-23.1203,-134.9692,People ThankYou
10,Ishigaki,JP,77.13,scattered clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
13,Faanui,PF,80.44,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
16,Rawson,AR,63.52,scattered clouds,-43.3002,-65.1023,Hosteria Sampedro
20,Butaritari,KI,81.64,broken clouds,3.0707,172.7902,Isles Sunset Lodge
27,Guerrero Negro,MX,64.47,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
29,Jamestown,US,67.95,overcast clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
30,Abohar,IN,86.29,scattered clouds,30.15,74.1833,OYO 37129 Hotel Piccadily
31,Turayf,SA,68.25,sand,31.6725,38.6637,Turaif
36,Broome,US,62.19,overcast clouds,42.2506,-75.833,Chenango Valley State Park
37,Lazaro Cardenas,MX,84.52,clear sky,17.9583,-102.2,HOTEL QUINTA ANTIGUA
39,Hithadhoo,MV,85.28,broken clouds,-0.6,73.0833,Scoop Guest House
41,Gizo,SB,81.77,light rain,-8.103,156.8419,Imagination Island
42,Tabas,IR,86.22,scattered clouds,33.5959,56.9244,شرکت معماری مهراز شایگان آراد
43,Bowen,AU,75.97,broken clouds,-20.0167,148.2333,Castle Motor Lodge Motel
47,Castro,BR,65.64,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
48,Sola,VU,82.22,overcast clouds,-13.8833,167.55,Leumerus Bungalows
51,Komsomolskiy,UZ,68.72,broken clouds,40.4272,71.7189,Ikathouse
52,Manado,ID,75.97,scattered clouds,1.487,124.8455,Aryaduta Hotel
53,Stephenville,US,78.93,overcast clouds,32.2207,-98.2023,La Quinta Inn & Suites by Wyndham Stephenville
54,Vao,NC,74.52,broken clouds,-22.6667,167.4833,Hotel Kou-Bugny
55,Itarema,BR,74.5,moderate rain,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
57,Saint-Philippe,RE,73.22,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
58,Taree,AU,60.12,overcast clouds,-31.9,152.4667,All Seasons Country Lodge Taree
61,Hilo,US,84.27,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
62,Saint-Georges,GD,80.28,scattered clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
65,Nouadhibou,MR,73.38,clear sky,20.931,-17.0347,El Medina
66,Cidreira,BR,67.5,scattered clouds,-30.1811,-50.2056,Hotel Castelo
67,Mayumba,GA,79.05,light rain,-3.432,10.6554,LIKWALE LODGE
69,Mersing,MY,80.51,few clouds,2.4312,103.8405,Timotel Hotel
70,Katsuura,JP,65.71,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
72,Georgetown,MY,84.13,few clouds,5.4112,100.3354,Cititel Penang
82,Maceio,BR,87.24,scattered clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
83,Hongjiang,CN,70.25,broken clouds,27.11,109.9956,洪江大酒店
84,Sardinata,CO,82.08,broken clouds,8.0829,-72.8007,Hotel El Turpial
87,Anloga,GH,82.56,overcast clouds,5.7947,0.8973,Pin Drop Hotel
89,Port Elizabeth,ZA,62.1,broken clouds,-33.918,25.5701,39 On Nile Guest House
90,Port Keats,AU,77.52,overcast clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
92,Grand Gaube,MU,75.6,scattered clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
