City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Busselton,AU,2022-04-13 18:06:33,-33.65,115.3333,54.03,86,0,9.17
1,Itoman,JP,2022-04-13 18:06:33,26.1247,127.6694,73.42,78,11,5.75
2,Bluff,NZ,2022-04-13 18:06:34,-46.6,168.3333,45.81,82,83,12.64
3,East London,ZA,2022-04-13 18:06:34,-33.0153,27.9116,70.9,82,1,3.74
4,Atuona,PF,2022-04-13 18:06:34,-9.8,-139.0333,78.4,80,44,18.21
5,Kanlagay,PH,2022-04-13 18:06:35,5.8757,121.2915,79.39,84,82,4.92
6,Vao,NC,2022-04-13 18:06:35,-22.6667,167.4833,75.02,68,4,1.05
7,Byron Bay,AU,2022-04-13 18:06:35,-28.65,153.6167,60.94,85,87,11.23
8,Hermanus,ZA,2022-04-13 18:05:30,-34.4187,19.2345,65.8,90,99,10.42
9,Port Elizabeth,ZA,2022-04-13 18:06:36,-33.918,25.5701,64.09,94,11,8.99
10,Punta Arenas,CL,2022-04-13 18:05:25,-53.15,-70.9167,59.11,58,40,21.85
11,Mataura,NZ,2022-04-13 18:05:22,-46.1927,168.8643,45.48,98,49,2.46
12,Galle,LK,2022-04-13 18:06:36,6.0367,80.217,80.17,82,99,8.59
13,Chuy,UY,2022-04-13 18:06:37,-33.6971,-53.4616,71.8,32,36,9.98
14,Birjand,IR,2022-04-13 18:06:37,32.8663,59.2211,70.99,12,7,2.15
15,Manoel Urbano,BR,2022-04-13 18:06:37,-8.8389,-69.2597,84.15,79,97,3.47
16,Puerto Ayora,EC,2022-04-13 18:06:38,-0.7393,-90.3518,80.56,78,73,10.27
17,Rikitea,PF,2022-04-13 18:02:27,-23.1203,-134.9692,78.67,69,8,18.12
18,Provideniya,RU,2022-04-13 18:06:38,64.3833,-173.3,18.66,92,100,19.17
19,Kapaa,US,2022-04-13 18:06:38,22.0752,-159.319,78.78,89,75,8.05
20,Llanes,ES,2022-04-13 18:06:39,43.4198,-4.7549,58.44,76,38,2.21
21,Sept-Iles,CA,2022-04-13 18:05:55,50.2001,-66.3821,40.05,77,72,3.0
22,Cidreira,BR,2022-04-13 18:06:39,-30.1811,-50.2056,68.83,77,98,11.39
23,Fenoarivo Atsinanana,MG,2022-04-13 18:06:40,-17.3667,49.4167,74.89,90,11,5.95
24,Suraabad,AZ,2022-04-13 18:06:40,40.8192,49.4687,49.69,65,2,12.24
25,Ushuaia,AR,2022-04-13 18:01:41,-54.8,-68.3,45.0,85,84,6.35
26,Hobart,AU,2022-04-13 18:06:40,-42.8794,147.3294,51.66,86,7,8.05
